rank	no	word	ph	pos	def	freq	years	yearList	topForms
1131		camera	ˈkæmərə	n.	照相机；摄像机	20	7	2008/2011/2012/2013/2014/2018/2019	cameras:11 camera:9
1132		canal	kəˈnæl	n.	运河；水道	20	1	2015	canal:16 canals:4
1133		coach	kəʊtʃ	n.	教练；马车；长途车	20	6	2013/2015/2016/2019/2020/2022	coach:12 coaching:4 coaches:4
1134		comfortable	ˈkʌmfətəb(ə)l; (US) ˈkʌmfərtəbl	adj.	舒服的；安逸的；舒服自在的	20	6	2013/2016/2017/2018/2021/2022	comfortable:20
1135		concern	kənˈsɜːn	v. n.	/ n. 涉及，关心	20	7	2011/2013/2017/2018/2019/2020/2022	concern:10 concerns:9 concerning:1
1136		conduct	ˈkɔndʌkt	vt.	引导，带领	20	9	2009/2012/2013/2014/2015/2016/2017/2018/2020	conducted:12 conduct:5 conducting:3
1137		dark	dɑːk	n. adj.	黑暗；暗处；日暮 a. 黑暗的；暗淡的；深色的	20	6	2008/2014/2015/2016/2017/2019	dark:17 darker:3
1138		direction	dɪˈrekʃ(ə)n	n.	方向；方位	20	8	2010/2012/2013/2016/2017/2019/2020/2022	direction:17 directions:3
1139		excellent	ˈeksələnt	adj.	极好的，优秀的	20	8	2010/2011/2012/2014/2016/2017/2018/2019	excellent:20
1140		familiar	fəˈmɪlɪə(r)	adj.	熟悉的	20	7	2010/2011/2012/2016/2018/2019/2020	familiar:20
1141		fit	fɪt	adj. v.	健康的, 适合的 v. （使）适合，安装	20	7	2009/2012/2015/2016/2017/2018/2022	fit:17 fitting:2 fitted:1
1142		flower	ˈflaʊə(r)	n.	花	20	7	2010/2011/2014/2016/2018/2020/2021	flowers:17 flower:3
1143		Friday	ˈfraɪdɪ	n.	星期五	20	7	2008/2011/2013/2014/2017/2018/2020	friday:18 fridays:2
1144		funny	ˈfʌnɪ	adj.	有趣的，滑稽可笑的	20	4	2010/2014/2016/2021	funny:18 funniest:2
1145		gardening	ˈɡɑːdnɪŋ	n.	园艺学	20	5	2011/2014/2016/2017/2018	gardening:20
1146		immediately	ɪˈmiːdɪətlɪ	adv.	立即	20	7	2008/2009/2010/2014/2016/2018/2021	immediately:20
1147		keyboard	kiːbɔːd	n.	键盘	20	1	2019	keyboard:20
1148		kite	kaɪt	n.	风筝	20	2	2011/2012	kite:20
1149		leading	ˈliːdɪŋ	adj.	最主要的，第一位的；leaf (复 leaves	20	5	2010/2011/2015/2017/2019	leading:20
1150		make it			na. 赶到；办成功；规定时间；〔美俚〕性交	20	0		make it:20
1151		nurse	nɜːs	n.	护士；保育员	20	4	2010/2016/2019/2021	nurse:12 nurses:8
1152		operation	ɔpəˈreɪʃ(ə)n	n.	手术，操作	20	5	2012/2013/2016/2021/2022	operation:13 operations:7
1153		pain	peɪn	n.	疼痛，疼	20	5	2012/2013/2014/2017/2018	pain:20
1154		progress	ˈprəʊɡres; (US) ˈprɔɡres	n. vi.	进步,上进vi.进展,进行	20	4	2010/2014/2017/2022	progress:20
1155		quick	kwɪk	adj. adv.	快；敏捷的；急剧的 ad. 快地；敏捷地；急剧地	20	7	2011/2013/2014/2015/2016/2017/2022	quick:20
1156		range	reɪndʒ	n. v.	/ v. 变化，变动，排序	20	7	2013/2015/2016/2018/2019/2020/2021	range:17 ranging:2 ranges:1
1157		Saturday	ˈsætədeɪ	n.	星期六	20	5	2011/2014/2015/2017/2018	saturday:20
1158		select	sɪˈlekt	vt.	选择，挑选，选拔	20	7	2014/2015/2016/2018/2019/2020/2022	selected:10 select:10
1159		shake	ʃeɪk	v.	摇动，震动；握手	20	6	2008/2009/2011/2013/2015/2018	shaking:8 shake:6 shook:3 shakes:3
1160		significant	sig'nifikәnt	n./adj.	象征；有意义的事物； 重大的；有效的；有意义的；值得注意的；意味深长的	20	6	2015/2018/2019/2020/2021/2022	significant:20
1161		society	səˈsaɪətɪ	n.	社会	20	6	2010/2011/2012/2015/2020/2022	society:18 societies:2
1162		solve	sɒlv	v.	解决；解答	20	3	2012/2014/2016	solve:13 solving:6 solved:1
1163		speech	spiːtʃ	n.	演讲	20	7	2009/2010/2011/2014/2016/2018/2019	speech:16 speeches:4
1164		stone	stəʊn	n.	石头，石料	20	5	2014/2016/2018/2019/2021	stone:14 stones:6
1165		whose	huːz	pron.	谁的	20	7	2010/2011/2016/2018/2019/2020/2022	whose:20
1166		a number of			若干；许多	19	0		a number of:19
1167		afraid	əˈfreɪd	adj.	害怕的；担心	19	6	2008/2009/2010/2011/2013/2018	afraid:19
1168		annoy	əˈnɔɪ	vt.	（使）烦恼	19	8	2009/2015/2016/2017/2018/2019/2020/2022	annoying:17 annoys:2
1169		aspect	ˈæspekt	n.	方面，外观，外表	19	6	2010/2011/2013/2017/2020/2022	aspects:12 aspect:7
1170		basic	ˈbeɪsɪk	adj.	基本的	19	9	2008/2012/2013/2014/2016/2017/2018/2019/2020	basic:18 basics:1
1171		bottle	ˈbɔt(ə)l	n.	瓶子	19	7	2008/2011/2012/2015/2018/2021/2022	bottles:8 bottle:6 bottled:5
1172		breakfast	ˈbrekfəst	n.	早餐	19	4	2010/2017/2019/2020	breakfast:18 breakfasted:1
1173		bright	braɪt	adj.	明亮的；聪明的	19	7	2008/2010/2012/2016/2017/2018/2020	bright:19
1174		classic	ˈklæsɪk	adj.	一流的，典型的，有代表性的	19	6	2013/2014/2016/2017/2020/2022	classic:19
1175		communicate	kəˈmjuːnɪkeɪt	v.	交际；传达（感情，信息等	19	9	2009/2012/2014/2015/2016/2017/2018/2020/2022	communicate:12 communicating:5 communicated:2
1176		complex	ˈkɔmpleks	adj. n.	/ n. 复杂的，建筑群	19	5	2012/2017/2018/2020/2021	complex:19
1177		decade	ˈdekeɪd	n.	十年期	19	7	2010/2012/2013/2014/2016/2018/2020	decades:12 decade:7
1178		degree	dɪˈɡriː	n.	程度；度数；学位	19	4	2015/2017/2020/2022	degree:19
1179		die	daɪ	v.	死	19	6	2008/2010/2011/2014/2016/2018	died:14 die:5
1180		discussion	dɪsˈkʌʃ(ə)n	n.	讨论，辩论	19	6	2011/2013/2016/2018/2019/2021	discussion:17 discussions:2
1181		dry	draɪ	v. adj.	使…干；弄干；擦干 a. 干的；干燥的	19	4	2010/2011/2015/2016	dry:13 dried:3 drier:2 drying:1
1182		electronic	ɪlekˈtrɔnɪk	adj.	电子的	19	6	2010/2012/2014/2015/2016/2018	electronic:17 electronics:2
1183		everywhere	ˈevrɪweə(r)	adv.	到处	19	7	2010/2011/2015/2016/2018/2021/2022	everywhere:19
1184		February	ˈfebruəri	n.	2月	19	7	2014/2015/2016/2017/2018/2020/2022	february:19
1185		finding	'faindiŋ	n.	发现；调查结果；（法律）判决	19	5	2012/2016/2018/2020/2022	findings:14 finding:5
1186		French	frentʃ	n.	法语 a法国的；法国人的；法语的	19	3	2015/2016/2020	french:19
1187		function	ˈfʌŋkʃən	n. v.	/ v. 作用,功能,运转	19	7	2008/2012/2017/2018/2020/2021/2022	functions:11 function:8
1188		gas	ɡæs	n.	煤气	19	5	2008/2011/2017/2018/2021	gas:12 gases:7
1189		glass	ɡlɑːs; (US) ɡlæs	n.	玻璃杯,玻璃；(复)眼镜	19	7	2008/2010/2012/2015/2018/2019/2020	glass:16 glasses:3
1190		intelligence	ɪnˈtelɪdʒəns	n.	智力,才智,智慧	19	6	2011/2013/2015/2016/2018/2021	intelligence:19
1191		itself	ɪtˈself	pron.	它自己	19	8	2008/2010/2011/2013/2016/2017/2021/2022	itself:19
1192		joy	dʒɔɪ	n.	欢乐，高兴，乐趣	19	7	2010/2012/2014/2017/2018/2019/2020	joy:19
1193		laugh	lɑːf	n. v.	笑，大笑；嘲笑	19	5	2012/2016/2017/2020/2021	laugh:13 laughed:3 laughing:3
1194		musical	ˈmjuːzɪk(ə)l	adj. n.	音乐的，爱好音乐的 n. 音乐片	19	7	2010/2011/2012/2016/2017/2019/2022	musical:13 musicals:6
1195		neighbor	ˈneɪbə(r)	n.	邻居，邻人 【美】	19	5	2010/2014/2016/2017/2019	neighbors:13 neighboring:4 neighbor:2
1196		neither	ˈnaɪðə(r)	adj.	（两者）都不;也不	19	7	2010/2011/2012/2013/2015/2019/2022	neither:19
1197		normal	ˈnɔːm(ə)l	n. adj.	正常的（状态	19	7	2008/2010/2014/2015/2017/2019/2021	normal:19
1198		peace	piːs	n.	和平	19	6	2008/2011/2015/2016/2019/2020	peace:19
1199		permit	pəˈmɪt	vt. n.	许可,允许;执照 n.许可证	19	5	2008/2012/2016/2017/2019	permit:7 permitted:7 permits:3 permitting:2
1200		physical	ˈfɪzɪk(ə)l	adj.	身体的；物理的	19	5	2012/2013/2016/2017/2020	physical:19
1201		practical	ˈpræktɪk(ə)l	adj.	实际的，适用的；practice(s)e	19	10	2009/2010/2011/2013/2014/2015/2016/2018/2019/2020	practical:19
1202		relative	ˈrelətɪv	n.	亲属，亲戚	19	5	2008/2010/2012/2015/2018	relatives:15 relative:4
1203		reply	rɪˈplaɪ	n.	回答，答复	19	7	2009/2010/2018/2019/2020/2021/2022	replied:10 reply:7 replying:2
1204		rock	rɔk	n. vt.	岩石,大石头vt. 摇,摇晃	19	7	2011/2012/2016/2017/2018/2019/2022	rock:17 rocks:2
1205		September	səpˈtembə(r)	n.	9月	19	4	2014/2016/2019/2021	september:19
1206		sort	sɔːt	n.	]；t. 把…分类，拣选 n. 种类，类别	19	8	2008/2011/2014/2016/2018/2019/2020/2022	sort:12 sorts:5 sorted:2
1207		square	skweə(r)	n. adj.	广场 a. 平方的；方形的，宽而结实的（体格，肩膀	19	4	2008/2013/2015/2019	square:17 squares:2
1208		technique	ˈteknɪk(ə)l	n.	技术;技巧,方法	19	6	2013/2014/2015/2018/2019/2020	techniques:13 technique:6
1209		therefore	ˈðeəfɔː(r)	adv.	因此，所以	19	7	2008/2009/2010/2012/2014/2016/2020	therefore:19
1210		transport	trænsˈpɔːt	n. vt.	运输	19	4	2010/2016/2017/2020	transport:13 transports:3 transported:3
1211		unique	jʊˈniːk	adj.	惟一的,独一无二的	19	6	2013/2015/2017/2018/2019/2021	unique:19
1212		various	ˈveərɪəs	adj.	各种各样的，不同的	19	8	2010/2013/2015/2016/2017/2020/2021/2022	various:19
1213		wave	weɪv	n. v.	（热、光、声等的）波，波浪 v. 挥手，挥动，波动	19	6	2010/2013/2014/2016/2021/2022	waving:8 wave:6 waves:3 waved:2
1214		wife	waɪf	n.	妻子	19	6	2008/2010/2012/2013/2020/2021	wife:19
1215		accident	ˈæksɪdənt	n.	事故，意外的事	18	5	2011/2012/2016/2019/2022	accident:14 accidents:4
1216		account	əˈkaʊnt	n.	账目;描述	18	6	2013/2014/2016/2018/2020/2021	accounts:9 account:5 accounting:3 accounted:1
1217		advise	ədˈvaɪz	vt.	忠告，劝告，建议	18	7	2010/2011/2013/2014/2015/2016/2017	advised:13 advise:5
1218		as well as			na. 和…一样；…不用说	18	0		as well as:18
1219		Asia	ˈeɪʃə	n.	* n. 亚洲	18	7	2008/2010/2012/2015/2016/2018/2020	asia:18
1220		asleep	əˈsliːp	adj.	睡着的，熟睡	18	3	2011/2013/2016	asleep:18
1221		balance	ˈbæləns	n.	平衡	18	5	2010/2016/2017/2018/2022	balance:15 balancing:2 balanced:1
1222		ball	bɔːl	n.	球 n. 舞会	18	6	2011/2012/2018/2019/2020/2022	ball:18
1223		Canada	ˈkænədə	n.	* n. 加拿大	18	6	2010/2011/2017/2018/2019/2021	canada:18
1224		character	ˈkærɪktə(r)	n.	（汉）字.字体；品格	18	8	2009/2010/2011/2013/2014/2016/2017/2019	characters:15 character:3
1225		cinema	ˈsɪnəmə	n.	电影院；电影	18	2	2008/2011	cinema:17 cinemas:1
1226		court	kɔːt	n.	法庭；法院	18	2	2015/2016	court:18
1227		crazy	ˈkreɪzɪ	adj.	疯狂的	18	6	2013/2014/2016/2019/2020/2021	crazy:18
1228		delicious	dɪˈlɪʃəs	adj.	美味的，可口的	18	5	2012/2016/2017/2018/2021	delicious:18
1229		discovery	dɪˈskʌvərɪ	n.	发现	18	6	2010/2013/2017/2018/2020/2021	discovery:11 discoveries:7
1230		document	ˈdɔkjʊmənt	n.	文件；文献	18	3	2010/2014/2015	documents:12 documenting:4 document:2
1231		draw	drɒ:	v.	绘画; 绘制; 拉, 拖; 提取	18	6	2011/2014/2015/2016/2020/2021	draw:7 drawn:5 draws:4 drew:2
1232		electricity	ɪlekˈtrɪsɪtɪ	n.	电；电流	18	4	2010/2011/2018/2020	electricity:18
1233		email	iː- meɪl	n.	电子邮件	18	4	2010/2018/2019/2020	email:10 emails:4 emailing:2 emailed:2
1234		escape	ɪˈskeɪp	n. vi.	逃跑；逃脱	18	7	2008/2011/2014/2015/2019/2021/2022	escape:9 escaping:5 escaped:4
1235		expose	ɪkˈspəʊz; (US) ekspəˈzeɪ	vt.	揭露	18	6	2013/2014/2018/2020/2021/2022	exposed:12 expose:4 exposing:2
1236		extremely	ɪkˈstriːmlɪ	adv.	极其，非常	18	9	2008/2012/2013/2014/2015/2016/2017/2018/2021	extremely:18
1237		fine	faɪn	adj. n. v.	细的；晴朗的；美好的；（身体）健康的 n.& v. 罚款	18	7	2008/2011/2015/2016/2017/2020/2022	fine:18
1238		frequently	'fri:kwәntli	adv.	频繁地；经常	18	7	2010/2013/2015/2016/2018/2020/2022	frequently:18
1239		guess	ɡes	vi.	猜	18	5	2011/2019/2020/2021/2022	guess:12 guessing:4 guesses:2
1240		homework	ˈhəʊmwɜːk	n.	家庭作业	18	5	2010/2013/2014/2018/2019	homework:18
1241		host	həʊst	n. v.	主人；节目主持人 v. 做主人招待	18	4	2019/2020/2021/2022	host:11 hosts:3 hosting:2 hosted:2
1242		huge	hjuːdʒ	adj.	巨大的，庞大的	18	8	2010/2012/2013/2015/2018/2019/2021/2022	huge:18
1243		hurt	hә:t	v.	伤害, 受伤; 伤人感情	18	6	2011/2013/2014/2015/2016/2020	hurt:17 hurts:1
1244		image	'imidʒ	n./vt.	影像；想象；肖像；偶像； 想象；反映；象征；作…的像	18	4	2011/2016/2020/2021	image:11 images:7
1245		indeed	ɪnˈdiːd	adj.	确实；实在	18	8	2008/2012/2016/2018/2019/2020/2021/2022	indeed:18
1246		inspire	ɪnˈspaɪə(r)	vt.	鼓舞； 激励	18	7	2014/2016/2017/2019/2020/2021/2022	inspired:6 inspire:6 inspiring:4 inspires:2
1247		intend	ɪnˈtend	vt.	想要，打算	18	6	2008/2016/2018/2020/2021/2022	intended:10 intend:4 intends:4
1248		January	ˈdʒænjʊərɪ; (US) ˈdʒænjʊerɪ	n.	1月	18	5	2014/2017/2020/2021/2022	january:18
1249		kitchen	ˈkɪtʃɪn	n.	厨房	18	8	2008/2010/2011/2012/2014/2017/2020/2021	kitchen:18
1250		manner	ˈmænə(r)	n.	方式，态度，举止	18	7	2008/2011/2013/2015/2016/2018/2019	manners:11 manner:7
1251		match	mætʃ	vt. n.	使相配，使成对 n. 比赛，竞赛 n. 火柴	18	8	2009/2010/2011/2017/2018/2019/2020/2021	match:13 matching:5
1252		monitor	ˈmɔnɪtə(r)	n.	（班级内的）班长；纠察生；监视器	18	5	2013/2016/2017/2018/2020	monitors:7 monitor:5 monitored:4 monitoring:2
1253		motivation	məʊtɪˈveɪʃn	n.	（做事的）动机	18	3	2016/2017/2019	motivation:17 motivations:1
1254		occur	əˈkɜː(r)	vi.	发生	18	6	2010/2011/2012/2014/2018/2020	occurred:11 occur:4 occurs:3
1255		ocean	ˈəʊʃ(ə)n	n.	海洋	18	4	2008/2016/2020/2021	ocean:11 oceans:7
1256		perfect	kwestʃəˈneə(r)	adj.	完美的，极好的	18	7	2008/2013/2015/2016/2018/2020/2021	perfect:18
1257		period	ˈpɪərɪəd	n.	时期，时代	18	8	2010/2013/2014/2015/2016/2017/2018/2020	period:12 periods:6
1258		phrase	freɪz	n.	短语；习惯用语	18	7	2011/2012/2015/2016/2017/2019/2020	phrase:16 phrases:2
1259		pleasant	ˈplezənt	adj.	令人愉快的，舒适的	18	6	2008/2010/2011/2016/2018/2021	pleasant:18
1260		pleased	pliːzd	adj.	高兴的	18	8	2009/2010/2011/2012/2013/2014/2016/2021	pleased:18
1261		popularity	.pɒpju'læriti	n.	受人喜爱；流行	18	5	2014/2015/2019/2020/2021	popularity:18
1262		producer	prә'dju:sә	n.	制片人；生产者	18	4	2011/2016/2018/2019	producer:10 producers:8
1263		rather than			na. 而不	18	0		rather than:18
1264		represent	reprɪˈzent	vt.	代表	18	6	2012/2014/2015/2016/2019/2020	represent:10 represented:5 representing:2 represents:1
1265		scientific	saɪənˈtɪfɪk	adj.	科学的	18	6	2009/2011/2014/2016/2017/2020	scientific:18
1266		sea	siː	n.	海，海洋	18	5	2008/2010/2016/2018/2020	sea:18
1267		seldom	ˈseldəm	adv.	很少，不常	18	6	2008/2010/2013/2015/2016/2019	seldom:18
1268		separate	ˈsepərət	v. adj.	使分开，使分离a. 单独的，分开的	18	7	2010/2013/2016/2017/2018/2020/2022	separate:15 separated:3
1269		sheet	ʃiːt	n.	成幅的薄片，薄板；shelf (复 shelves	18	2	2013/2017	sheet:16 sheets:2
1270		shopping	ˈʃɔpɪŋ	n.	买东西	18	6	2008/2011/2014/2015/2017/2021	shopping:18
1271		sorry	ˈsɔrɪ	adj.	对不起,抱歉;难过的	18	7	2008/2010/2013/2016/2017/2018/2021	sorry:18
1272		source	sɒ:s	n.	来源；出处	18	7	2008/2010/2011/2017/2019/2020/2021	source:13 sources:5
1273		spring	sprɪŋ	n.	春天,春季 n. 泉水,泉	18	7	2010/2012/2014/2016/2020/2021/2022	spring:18
1274		stage	steɪdʒ	n.	舞台；阶段	18	6	2012/2015/2016/2017/2018/2022	stage:18
1275		statistics	stəˈtɪstɪks	n.	统计数字，统计资料，统计学	18	4	2015/2016/2019/2020	statistics:18
1276		turning	ˈtɜːnɪŋ	n.	拐弯处, 拐角处	18	7	2011/2014/2015/2017/2018/2019/2022	turning:18
1277		underground	ʌndəˈɡraʊnd	adj. n.	地下的 n. 地铁	18	7	2009/2010/2011/2013/2016/2017/2020	underground:18
1278		unknown	juːnɪˈvɜːsɪtɪ	adj.	不知道的	18	7	2008/2010/2011/2014/2018/2019/2020	unknown:18
1279		unusual	ʌnˈjuːʒʊəl	adj.	不平常的，异常的	18	6	2009/2010/2012/2013/2018/2020	unusual:18
1280		wide	weə(r); (US) hweər	adj.	宽阔的	18	7	2012/2013/2014/2015/2016/2019/2021	wide:18
1281		worker	ˈwɜːkə(r)	n.	工人；工作者	18	7	2008/2010/2011/2015/2016/2017/2018	workers:12 worker:6
1282		worry	ˈwʌrɪ	n. v.	烦恼,担忧,发怒,困扰	18	6	2010/2012/2014/2016/2018/2021	worry:16 worries:2
1283		anxiety	æŋˈzaɪətɪ	n.	担忧，焦虑	17	5	2013/2014/2016/2018/2019	anxiety:15 anxieties:2
1284		architecture	ˈɑːkɪtektʃə(r)	n.	建筑学，建筑设计，风格	17	4	2017/2018/2020/2022	architecture:17
1285		blood	blʌd	n.	血，血液	17	4	2010/2012/2019/2020	blood:17
1286		boot	buːt	n.	长统靴；靴	17	2	2009/2012	boots:17
1287		cheap	tʃiːp	adj.	便宜的，贱	17	6	2008/2010/2011/2013/2018/2022	cheap:9 cheaper:6 cheapest:2
1288		citizen	ˈsɪtɪz(ə)n	n.	公民；居民	17	6	2010/2011/2014/2017/2018/2019	citizens:11 citizen:6
1289		clever	ˈklevə(r)	adj.	聪明的，伶俐的	17	5	2010/2011/2016/2017/2022	clever:15 cleverer:2
1290		colleague	ˈkɔliːɡ	n.	同事	17	6	2010/2014/2016/2018/2020/2021	colleagues:13 colleague:4
1291		contain	kənˈteɪn	v.	包含；包括；能容纳	17	6	2010/2011/2012/2018/2020/2022	contain:7 contained:4 contains:4 containing:2
1292		content	kənˈtent	adj. n.	甘愿的,满意的 n.内容	17	6	2008/2010/2014/2017/2019/2022	content:15 contents:2
1293		copy	ˈkɔpɪ	n. v.	抄本，副本；一本（份，册……） v. 抄写；复印；（计算机用语）拷（备 份盘	17	5	2010/2011/2018/2019/2020	copies:9 copy:4 copied:4
1294		curious	ˈkjʊərɪəs	adj.	好奇的；奇异的	17	5	2012/2013/2014/2015/2020	curious:17
1295		deal with			处理；安排；对付	17	0		deal with:17
1296		deliver	dɪˈlɪvə(r)	vt.	投递（信件，邮包等	17	5	2010/2011/2014/2016/2018	delivering:8 delivered:7 deliver:2
1297		department	dɪˈpɑːtmənt	n.	部门；（机关的）司，处；（大学的）系	17	4	2011/2013/2017/2018	department:13 departments:4
1298		discourage	dɪˈskʌrɪdʒ	vt.	（使）气馁；打消（做…的念头	17	7	2009/2014/2016/2017/2018/2019/2021	discouraged:10 discourage:5 discouraging:2
1299		dollar	dɔl; (US) dɔːl	n.	元（美国、加拿大、澳大利亚等国货币单位	17	7	2010/2013/2015/2016/2017/2018/2020	dollars:12 dollar:5
1300		dress	dres	n. v.	女服，连衣裙；(统指)服装；童装 v. 穿衣；穿着	17	7	2009/2010/2011/2013/2015/2016/2020	dress:13 dressed:4
1301		duty	ˈdjuːtɪ; (US) ˈduːtɪ	n.	责任，义务	17	6	2011/2016/2017/2019/2020/2021	duty:12 duties:5
1302		emergency	ɪˈmɜːdʒənsɪ	n.	紧急情况或状态	17	3	2016/2020/2021	emergency:14 emergencies:3
1303		examine	ɪɡˈzæmɪn	vt.	检查；诊察	17	6	2010/2011/2017/2019/2021/2022	examined:10 examine:6 examining:1
1304		floor	flɔː(r)	n.	地面，地板.（楼房的）层	17	6	2011/2013/2014/2018/2020/2021	floor:15 floors:2
1305		friendly	ˈfrendlɪ	adj.	友好的	17	7	2010/2011/2013/2014/2016/2019/2020	friendly:13 friendlier:4
1306		glove	ɡlʌv	n.	手套	17	2	2009/2013	gloves:17
1307		growth	ɡrəʊθ	n.	生长，增长	17	6	2010/2011/2013/2015/2016/2018	growth:17
1308		himself	hɪmˈself	pron.	他自己	17	6	2010/2011/2013/2016/2019/2020	himself:17
1309		Italy	ˈɪtəlɪ	n.	* n. 意大利	17	4	2010/2011/2020/2022	italy:17
1310		limited	'limitid	adj./n.	有限的； 高级快车	17	6	2008/2011/2012/2016/2020/2021	limited:17
1311		link	lɪŋk	v.	连接； 联系	17	7	2009/2011/2014/2015/2016/2018/2019	link:9 links:5 linking:2 linked:1
1312		moon	muːn	n.	月球；月光；月状物	17	3	2015/2020/2022	moon:16 moons:1
1313		mostly	'mәustli	adv.	主要地；一般地	17	8	2010/2011/2013/2014/2016/2017/2019/2021	mostly:17
1314		Mrs	'misiz		太太	17	5	2010/2011/2016/2017/2018	mrs:17
1315		network	ˈnetwɜːk	n.	网络，网状系统	17	7	2010/2011/2015/2016/2017/2018/2019	network:8 networks:5 networking:4
1316		November	nəʊˈvembə(r)	n.	11月	17	5	2011/2015/2016/2018/2022	november:17
1317		ourselves	aʊəˈselvz	pron.	我们自己	17	6	2012/2015/2017/2018/2020/2021	ourselves:17
1318		particular	pəˈtɪkjʊlə(r)	adj.	特殊的，个别的	17	8	2010/2013/2014/2015/2016/2017/2019/2020	particular:17
1319		path	pɑːθ; (US) pæθ	n.	小道，小径	17	6	2011/2012/2013/2015/2018/2019	path:15 paths:2
1320		president	ˈprezɪdənt	n.	总统；主席	17	8	2011/2012/2013/2014/2015/2016/2018/2019	president:14 presidents:3
1321		pretend	ˈpreʃə(r)	vi.	假装，装作	17	6	2010/2011/2013/2020/2021/2022	pretended:9 pretending:5 pretend:3
1322		refuse	rɪˈfjuːz	vi.	拒绝，不愿	17	8	2010/2011/2013/2014/2015/2016/2021/2022	refused:8 refuse:6 refusing:2 refuses:1
1323		remind	rɪˈmaɪnd	vt.	提醒，使记起	17	8	2009/2011/2012/2014/2015/2016/2018/2020	remind:6 reminded:4 reminds:3 reminding:2
1324		roll	rəʊl	v. n.	滚动, 打滚 n. 面包圈，小圆面包；卷状物	17	5	2013/2016/2018/2019/2020	rolling:9 roll:4 rolled:3 rolls:1
1325		Roman	'rәumәn	n./adj.	罗马人；古罗马语； 罗马的；罗马人的	17	4	2015/2016/2020/2021	roman:11 romans:6
1326		San Francisco		n.	旧金山	17	0		san francisco:17
1327		set up			设立;建立	17	0		set up:17
1328		spoken	ˈspəʊkən	adj.	口语的；spoken man/ woman (pl. spokemen/ women	17	5	2008/2010/2014/2017/2018	spoken:17
1329		swim	swɪm	n.	游泳，游；swim (swam, swum	17	4	2008/2010/2012/2015	swim:9 swum:4 swam:2 swims:2
1330		switch	swɪtʃ	v. n.	/ n. 开关,转换,改变	17	7	2010/2014/2015/2016/2018/2020/2022	switch:6 switching:5 switched:3 switches:3
1331		teens	ti:ns	n.	十几岁（13至19岁的年龄）	17	4	2008/2011/2018/2019	teens:17
1332		active	ˈæktɪv	adj.	积极的，主动的	16	6	2011/2012/2016/2017/2020/2022	active:16
1333		Antarctica	ænˈtɑːktikə	n.	* n. 南极洲	16	2	2016/2022	antarctica:16
1334		architect	ˈɑːkɪtekt	n.	建筑师，设计师	16	4	2015/2018/2020/2021	architects:13 architect:3
1335		at work			有某种影响；在工作	16	0		at work:16
1336		atmosphere	ˈætməsfɪə(r)	n.	大气；气氛	16	4	2008/2016/2019/2021	atmosphere:16
1337		attempt	əˈtempt	vt.	试图，尝试	16	7	2010/2012/2013/2016/2019/2020/2021	attempt:7 attempting:5 attempts:4
1338		Australia	ɔˈstreɪljə	n.	* n. 澳洲；澳大利亚	16	7	2010/2011/2014/2018/2020/2021/2022	australia:16
1339		bath	bɑːθ; (US) bæθ	n.	洗澡；浴室；澡盆	16	5	2010/2014/2015/2018/2022	bath:6 baths:4 bathed:4 bathes:2
1340		birthday	ˈbɜːθdeɪ	n.	生日	16	6	2011/2012/2015/2017/2018/2022	birthday:9 birthdays:7
1341		borrow	ˈbɔrəʊ	v.	（向别人）借用；借	16	4	2010/2013/2017/2020	borrowed:8 borrow:4 borrowing:2 borrows:2
1342		careful	ˈkeəfʊl	adj.	小心，仔细，谨慎的	16	6	2010/2013/2015/2016/2019/2021	careful:16
1343		cell	sel	n.	（监狱的）单人牢房；（修道院等的）单人小室；（蜂巢的）小蜂窝，蜂房；［生物］ 细胞	16	5	2008/2012/2016/2018/2020	cells:10 cell:6
1344		chick	tʃɪk	n.	小鸡	16	1	2017	chick:10 chicks:6
1345		conflict	ˈkɔnflɪkt	n.	冲突，争执，争论	16	7	2010/2014/2015/2016/2017/2020/2022	conflict:9 conflicts:5 conflicting:2
1346		contribution	kɔnˈtrɪbjuːt	n.	贡献	16	6	2009/2015/2016/2018/2021/2022	contribution:9 contributions:7
1347		cross	krɔs	adj. n. vt.	脾气不好的，易怒的 n. 十字形的东西 vt. 越过；穿过	16	4	2013/2018/2020/2022	cross:13 crosses:2 crossed:1
1348		cry	kraɪ	n. v.	叫喊；哭声 v. 喊叫；哭	16	6	2012/2013/2014/2015/2016/2017	cry:10 crying:6
1349		demand	dɪˈmɑːnd; (US) dɪˈmænd	vt.	要求	16	6	2014/2015/2018/2020/2021/2022	demand:8 demands:4 demanded:4
1350		duration	dju'reiʃәn	n.	持续时间；期间	16	2	2017/2018	duration:16
1351		effective	i'fektiv	adj.	有效的，起作用的；实际的，实在的；给人深刻印象	16	6	2011/2013/2014/2018/2020/2022	effective:16
1352		fix	fɪks	vt.	修理；安装；确定，决定	16	4	2010/2011/2014/2015	fixed:8 fix:6 fixing:2
1353		guarantee	ɡærənˈtiː	v.	保证，担保	16	5	2013/2014/2019/2020/2022	guarantee:10 guaranteed:4 guarantees:1 guaranteeing:1
1354		hearing	ˈhɪərɪŋ	n.	听力	16	6	2011/2013/2014/2017/2019/2021	hearing:16
1355		heavy	ˈhevɪ	adj.	重的	16	4	2012/2013/2016/2018	heavy:12 heavier:3 heaviest:1
