rank	no	word	ph	pos	def	freq	years	yearList	topForms
590	1919	method	ˈmeθəd	n.	方法，办法；metre (美meter	40	10	2010/2011/2013/2015/2016/2017/2018/2019/2020/2022	methods:20 method:20
591	2189	Paris	ˈpærɪs	n.	巴黎	40	4	2015/2017/2018/2020	paris:40
592	2225	per	pə(r)	prep.	每，每一	40	8	2010/2013/2015/2016/2017/2018/2020/2022	per:40
593	2691	season	ˈsiːz(ə)n	n.	季；季节	40	7	2010/2013/2015/2016/2019/2020/2022	season:30 seasons:6 seasoned:2 seasoning:2
594	2801	six	sɪks	num.	六	40	11	2010/2011/2012/2014/2015/2016/2017/2019/2020/2021/2022	six:40
595	2915	sport	spɔːt	n.	体育运动，锻炼；(复，英)运动会	40	11	2008/2010/2013/2014/2016/2017/2018/2019/2020/2021/2022	sport:20 sports:18 sporting:2
596	3006	sugar	ˈʃʊɡə(r)	n.	糖	40	6	2010/2012/2013/2018/2020/2022	sugar:40
597	583	cause	kɔːz	n. vt.	原因，起因 vt. 促使，引起，使发生	39	13	2008/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	cause:20 caused:12 causes:7
598	603	chair	tʃeə(r)	n.	椅子	39	6	2011/2013/2014/2016/2017/2020	chair:33 chairs:6
599	647	choice	tʃɔɪs	n.	选择；抉择	39	7	2008/2010/2012/2014/2015/2016/2018	choices:23 choice:16
600	1117	English	ˈɪŋɡlɪʃ	adj. n.	英国的，英国人的，英语的 n. 英语	39	6	2010/2011/2014/2018/2019/2022	english:39
601	1243	festival	ˈfestɪvəl	adj.	节日的，喜庆的	39	8	2011/2013/2014/2016/2017/2018/2020/2022	festival:37 festivals:2
602	1520	healthy	ˈhelθɪ	adj.	健康的，健壮的	39	10	2010/2014/2015/2016/2017/2018/2019/2020/2021/2022	healthy:30 healthier:9
603	2288	please	pliːz	v.	请,使人高兴,使人满意	39	6	2008/2011/2014/2016/2017/2020	please:37 pleases:2
604	2488	receive	rɪˈsiːv	v.	收到，得到	39	12	2009/2010/2011/2012/2013/2015/2016/2017/2018/2019/2020/2021	received:19 receive:13 receiving:4 receives:3
605	3539	yet	jet	adv.	尚，还，仍然	39	10	2010/2011/2013/2014/2015/2016/2017/2020/2021/2022	yet:39
606	2	ability	əˈbɪlɪtɪ	n.	能力；才能	38	9	2009/2010/2012/2014/2016/2019/2020/2021/2022	ability:34 abilities:4
607	131	alone	əˈləʊn	adj.	单独的，孤独的	38	8	2010/2011/2014/2016/2017/2018/2019/2022	alone:38
608	523	busy	ˈbɪzɪ	adj.	忙（碌）的	38	7	2008/2010/2013/2014/2017/2018/2022	busy:36 busier:2
609	599	certain	ˈsɜːt(ə)n	adj.	（未指明真实名称的）某…；确定的，无疑的；一定会…	38	9	2010/2013/2014/2015/2016/2017/2019/2020/2021	certain:38
610	706	coffee	ˈkɔfɪ; (US) ˈkɔːfɪ	n.	咖啡	38	6	2010/2015/2016/2017/2018/2021	coffee:38
611	714	collection	kəˈlekʃ(ə)n	n.	收藏品，收集物	38	8	2008/2010/2012/2013/2014/2016/2020/2022	collections:21 collection:17
612	1316	force	fɔːs	vt.	强迫，迫使	38	12	2009/2010/2011/2013/2014/2015/2016/2017/2019/2020/2021/2022	forced:26 force:8 forcing:3 forces:1
613	1816	listen	ˈlɪs(ə)n	vi.	听,仔细听	38	11	2008/2011/2012/2013/2014/2015/2016/2017/2018/2019/2022	listening:15 listen:15 listened:5 listener:2
614	2045	noise	nɔɪz	n.	声音，噪声，喧闹声	38	6	2011/2014/2015/2017/2018/2021	noise:35 noises:3
615	2398	promise	ˈprɔmɪs	n. vi.	答应，允诺	38	13	2008/2010/2011/2012/2013/2014/2015/2016/2018/2019/2020/2021/2022	promise:22 promised:8 promising:7 promises:1
616	2984	strong	strɔŋ; (US) strɔːɡ	adj.	强(壮)的；坚固的；强烈的；坚强的	38	11	2008/2010/2011/2012/2013/2015/2016/2017/2019/2020/2021	strong:28 stronger:7 strongest:3
617	3080	task	tɑːsk; (US) tæsk	n.	任务, 工作	38	9	2009/2010/2011/2013/2016/2017/2020/2021/2022	task:21 tasks:17
618	3440	weight	weɪt	n.	重，重量	38	10	2010/2011/2012/2013/2014/2015/2017/2020/2021/2022	weight:36 weighting:2
619	78	advertise	ˈædvətaɪz	vt.	为……做广告	37	3	2011/2017/2019	advertising:31 advertise:4 advertised:2
620	295	avoid	əˈvɔɪd	v.	避免，躲开，逃避；awake (awoke, awoken	37	9	2013/2014/2015/2016/2017/2018/2019/2021/2022	avoid:26 avoided:7 avoiding:4
621	538	calm	kɑːm; (US) kɑːlm	adj. v.	镇静,沉着的 v.镇静沉着	37	13	2008/2009/2010/2011/2012/2013/2014/2016/2017/2018/2019/2021/2022	calm:27 calmed:5 calming:3 calmer:2
622	559	card	kɑːd	n.	卡片；名片；纸牌	37	8	2009/2010/2013/2014/2015/2016/2018/2022	card:23 cards:14
623	1600	husband	ˈhʌzbənd	n.	丈夫	37	10	2009/2010/2011/2012/2013/2014/2015/2018/2019/2020	husband:36 husbands:1
624	1775	law	lɔː	n.	法律，法令；定律	37	7	2010/2011/2012/2013/2014/2016/2020	law:32 laws:5
625	2233	perhaps	pəˈhæps	adv.	可能，或	37	11	2008/2010/2011/2013/2014/2017/2018/2019/2020/2021/2022	perhaps:37
626	2391	production	prəˈdʌkʃ(ə)n	n.	生产；制造	37	8	2010/2011/2013/2017/2018/2019/2020/2022	production:29 productions:8
627	2447	quite	kwaɪt	adv.	完全，十分	37	10	2008/2009/2010/2011/2012/2013/2016/2017/2018/2019	quite:37
628	2503	red	red	n. adj.	红色 a.红色的	37	7	2010/2012/2013/2015/2017/2018/2020	red:37
629	2658	saying	ˈseɪɪŋ	n.	说，俗话，谚语	37	8	2010/2011/2013/2015/2017/2018/2020/2021	saying:37
630	3081	taste	teɪst	n. vt.	品尝, 尝味；味道 vt. 品尝, 尝味	37	9	2008/2010/2013/2014/2015/2016/2017/2018/2021	taste:30 tastes:4 tasting:2 tasted:1
631	201	apple	ˈæp(ə)l	n.	苹果	36	3	2015/2016/2020	apple:21 apples:15
632	281	audience	ˈɔːdɪəns	n.	观众，听众	36	6	2011/2013/2014/2017/2019/2022	audience:34 audiences:2
633	1098	elephant	ˈelɪfənt	n.	象	36	4	2011/2014/2016/2020	elephants:28 elephant:8
634	1146	evening	ˈiːvnɪŋ	n.	傍晚，晚上	36	8	2008/2010/2011/2014/2015/2016/2018/2020	evening:34 evenings:2
635	1908	mention	ˈmenʃ(ə)n	n. vt.	提及；记载 vt. 提到，说起；提名表扬	36	9	2008/2010/2011/2012/2013/2014/2016/2019/2021	mentioned:20 mention:13 mentioning:3
636	2322	position	pəˈzɪʃ(ə)n	n.	位置	36	10	2008/2010/2011/2012/2013/2014/2018/2019/2021/2022	position:25 positions:8 positioned:3
637	3565	bike	baɪk	n.	自行车	35	4	2013/2014/2018/2021	bike:30 bikes:3 biking:2
638	571	case	keɪs	n.	情况；病例；案件；真相 n. 箱；盒；容器	35	9	2010/2011/2012/2014/2016/2017/2020/2021/2022	case:23 cases:12
639	698	club	klʌb	n.	俱乐部；纸牌中的梅花	35	9	2010/2011/2013/2015/2016/2017/2019/2021/2022	club:35
640	911	deep	diːp	adj. adv.	深 ad. 深；深厚	35	10	2009/2011/2012/2013/2016/2017/2018/2019/2020/2022	deep:26 deeper:7 deepest:2
641	1100	else	els	adv.	别的，其他的	35	11	2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2022	else:35
642	1399	generation	dʒenəˈreɪʃ(ə)n	n.	代，一代	35	10	2010/2011/2014/2015/2016/2017/2018/2020/2021/2022	generations:19 generation:16
643	2026	nest	nest	n.	巢；窝	35	4	2012/2014/2017/2022	nest:28 nests:5 nested:2
644	2080	object	ˈɔbdʒɪkt	n.	物，物体；宾语	35	8	2008/2012/2013/2014/2015/2018/2020/2022	objects:29 object:6
645	2665	schedule	ˈʃedjuːl; (US) ˈskedʒʊl	n. v.	工作计划，日程安排v. 安排时间，预定	35	7	2008/2014/2016/2017/2019/2020/2022	schedule:25 scheduled:6 schedules:4
646	2972	strange	streɪndʒ	adj.	奇怪,奇特的,陌生的	35	11	2010/2011/2012/2014/2015/2016/2017/2019/2020/2021/2022	strange:35
647	3494	within	wɪˈðɪn	prep.	在……里面	35	11	2008/2010/2011/2013/2014/2015/2016/2017/2019/2020/2021	within:35
648	204	apply	əˈplaɪ	v.	申请	34	9	2011/2013/2015/2016/2017/2018/2019/2020/2022	apply:23 applying:5 applied:4 applies:2
649	641	childhood	ˈtʃaɪldhʊd	n.	幼年时代，童年	34	6	2008/2011/2012/2016/2021/2022	childhood:34
650	904	decision	dɪˈsɪʒ(ə)n	n.	决定；决心	34	10	2008/2011/2013/2014/2015/2016/2017/2018/2019/2022	decision:23 decisions:11
651	1379	fur	fɜː(r)	n.	毛皮；皮子	34	4	2008/2010/2014/2020	fur:34
652	1846	lunch	lʌntʃ	n.	午餐，午饭	34	8	2008/2010/2013/2016/2017/2018/2019/2022	lunch:32 lunching:2
653	1956	modern	ˈmɔd(ə)n	adj.	现代的	34	8	2011/2013/2015/2016/2017/2018/2021/2022	modern:34
654	2404	protect	prəˈtekt	vt.	保护	34	12	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2021/2022	protect:24 protected:6 protecting:3 protects:1
655	2472	rather	ˈrɑːðə; (US) ˈræðər	adv.	相当，宁可	34	10	2008/2010/2011/2012/2014/2015/2016/2018/2020/2021	rather:34
656	2847	snow	snəʊ	n. vi.	雪 vi.下雪	34	9	2008/2009/2010/2012/2018/2019/2020/2021/2022	snow:34
657	3000	successful	səkˈsesfʊl	adj.	成功的,有成就的	34	10	2008/2010/2011/2013/2014/2015/2016/2018/2019/2021	successful:34
658	3630	throw	θrəʊ	v.	投，掷，扔	34	6	2010/2013/2014/2018/2020/2021	throw:10 throwing:8 threw:7 thrown:6
659	3218	track	træk	n.	轨道；田径	34	10	2010/2011/2013/2015/2016/2017/2018/2019/2020/2022	track:20 tracks:6 tracked:5 tracking:3
660	3250	trouble	ˈtrʌb(ə)l	vt. n.	使苦恼,使忧虑,使麻烦 n.问题,疾病,烦恼,麻烦	34	10	2009/2010/2011/2012/2014/2015/2016/2018/2019/2021	trouble:21 troubled:7 troubling:3 troubles:3
661	3308	unit	ˈjuːnɪt	n.	单元，单位	34	10	2008/2010/2011/2014/2015/2016/2017/2018/2020/2022	united:27 unit:4 units:3
662	278	attract	əˈtrækt	v.	吸引，引起	33	9	2008/2011/2012/2013/2014/2016/2017/2018/2019	attracted:13 attract:12 attracts:5 attracting:3
663	968	dinner	ˈdɪnə(r)	n.	正餐，宴会	33	7	2010/2011/2013/2015/2016/2018/2021	dinner:33
664	984	disappear	dɪsəˈpɪə(r)	vi.	消失	33	9	2010/2011/2014/2016/2017/2018/2019/2020/2021	disappear:20 disappearing:7 disappeared:6
665	1128	entrance	ˈentrəns	n.	入口；入场；进入的权利;入学许可	33	8	2008/2013/2015/2016/2017/2020/2021/2022	entrance:31 entrances:2
666	1227	fat	fæt	n. adj.	脂肪 a. 胖的；肥的	33	6	2010/2015/2016/2017/2018/2020	fat:29 fats:4
667	1266	finish	ˈfɪnɪʃ	v.	结束；做完	33	9	2010/2011/2012/2013/2014/2015/2016/2019/2020	finished:14 finishing:11 finish:8
668	1361	friendship	ˈfrendʃɪp	n.	友谊，友情	33	9	2010/2011/2012/2013/2015/2016/2017/2019/2022	friendship:20 friendships:13
669	1477	habit	ˈhæbɪt	n.	习惯，习性	33	7	2010/2013/2014/2015/2016/2018/2019	habits:23 habit:10
670	3585	hide	haɪd	v.	躲藏；隐瞒（hid, hidden）	33	9	2010/2011/2012/2014/2016/2017/2019/2020/2022	hiding:11 hide:9 hidden:8 hid:3
671	1567	honey	ˈhʌni	n.	蜂蜜	33	1	2012	honey:33
672	1713	journey	ˈdʒɜːnɪ	n.	旅行，路程	33	7	2010/2013/2016/2018/2019/2020/2022	journey:31 journeys:2
673	2118	opinion	əˈpɪnjən	n.	看法，见解	33	9	2008/2010/2012/2013/2017/2018/2019/2020/2021	opinion:17 opinions:16
674	2490	recent	ˈriːsənt	adj.	近来的，最近的	33	10	2010/2011/2015/2016/2017/2018/2019/2020/2021/2022	recent:33
675	2935	standard	ˈstændəd	n. adj.	标准（的	33	6	2010/2011/2013/2014/2017/2021	standards:17 standard:16
676	2973	stranger	ˈstreɪndʒə(r)	n.	陌生人，外人	33	8	2010/2011/2012/2014/2016/2018/2020/2021	strangers:17 stranger:16
677	2978	strength	streŋθ	n.	力量，力气	33	8	2011/2013/2014/2015/2017/2018/2019/2020	strength:19 strengths:14
678	3063	system	ˈsɪstəm	n.	体系；系统	33	7	2009/2010/2011/2013/2017/2019/2020	system:23 systems:10
679	3217	toy	tɔɪ	n.	玩具, 玩物	33	8	2008/2012/2014/2015/2016/2018/2020/2022	toys:21 toy:12
680	3222	traditional	trəˈdɪʃ(ə)n	adj.	传统的，风俗的	33	8	2009/2010/2015/2016/2018/2020/2021/2022	traditional:33
681	3429	weather	weə(r)	n.	天气	33	11	2008/2010/2011/2012/2013/2014/2015/2016/2019/2020/2021	weather:33
682	3424	website	websaɪt	n.	网络	33	11	2008/2010/2012/2014/2015/2016/2017/2018/2019/2021/2022	website:29 websites:4
683	3441	welcome	ˈwelkəm	n. v. adj.	欢迎 a. 受欢迎的	33	10	2008/2010/2012/2015/2017/2018/2019/2020/2021/2022	welcome:20 welcomed:10 welcoming:3
684	102	agree	əˈɡriː	v.	同意；应允	32	8	2010/2011/2013/2016/2018/2019/2020/2022	agreed:20 agree:12
685	363	beautiful	ˈbjuːtɪf(ə)l	adj.	美，美丽，美观的	32	11	2008/2010/2011/2014/2015/2016/2017/2018/2019/2020/2022	beautiful:32
686	383	belief	bɪˈliːf	n.	信条，信念	32	11	2008/2010/2011/2012/2013/2014/2017/2018/2019/2021/2022	belief:14 believes:13 beliefs:5
687	680	clean	kliːn	vt. adj.	弄干净，擦干净 a. 清洁的，干净的	32	9	2011/2013/2014/2015/2016/2018/2019/2020/2021	clean:20 cleaning:6 cleaned:3 cleans:2
688	735	compare	kəmˈpeə(r)	vt.	比较，对照	32	8	2008/2012/2013/2016/2018/2019/2020/2021	compared:19 comparing:7 compare:6
689	1090	either	ˈaɪðə(r)	adj. conj. adv.	两方任一方的；二者之一 conj. 二者之一；要么……；ad.	32	11	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2019	either:32
690	1180	expert	ˈekspɜːt	n.	专家，能手	32	9	2011/2013/2014/2015/2016/2017/2018/2019/2020	experts:22 expert:10
691	1639	influence	ˈɪnflʊəns	n. v.	影响	32	7	2008/2012/2015/2016/2019/2021/2022	influence:17 influenced:9 influences:6
692	1810	line	laɪn	n. v.	绳索，线，排，行，线路 v. 画线于，（使）成行	32	9	2008/2010/2012/2013/2017/2018/2019/2020/2022	line:19 lines:13
693	1896	medical	ˈmedɪk(ə)l	adj.	医学的，医疗的	32	10	2010/2012/2013/2016/2017/2018/2019/2020/2021/2022	medical:32
694	2016	necessary	ˈnesəsərɪ; (US) ˈnesəserɪ	adj.	必需的，必要的	32	11	2008/2010/2011/2012/2015/2016/2017/2018/2019/2020/2021	necessary:32
695	2094	official	əˈfɪʃ(ə)l; (US) ˈɔːf-	n. adj.	（公司、团体或政府）官员 ,高级职员 a.官方,政府的	32	9	2013/2014/2015/2016/2017/2019/2020/2021/2022	official:22 officials:10
696	2352	prefer	prɪˈfɜː(r)	vt.	宁愿（选择）,更喜欢	32	10	2008/2010/2011/2013/2016/2018/2019/2020/2021/2022	prefer:20 preferred:8 preferring:2 prefers:2
697	2528	relax	rɪˈlæks	v.	（使）放松，轻松	32	8	2009/2010/2012/2013/2015/2016/2018/2020	relaxed:11 relax:11 relaxing:10
698	2546	replace	rɪˈpleɪs	vt.	取代	32	10	2012/2013/2015/2016/2017/2018/2019/2020/2021/2022	replace:17 replaced:10 replaces:3 replacing:2
699	2593	river	ˈrɪvə(r)	n.	江；河；水道；巨流	32	6	2010/2011/2014/2015/2018/2020	river:27 rivers:5
700	2600	role	rəʊl	n.	角色	32	7	2009/2011/2013/2015/2017/2018/2020	role:30 roles:2
701	2625	rush	rʌʃ	vi.	冲，奔跑	32	10	2008/2010/2011/2014/2015/2016/2018/2020/2021/2022	rush:16 rushed:10 rushing:6
702	2633	safety	ˈseɪftɪ	n.	安全，保险	32	8	2008/2010/2013/2017/2018/2020/2021/2022	safety:32
703	2663	scene	sɪːn	n.	（戏剧、电影等的）一场，场景，布景	32	6	2012/2016/2017/2018/2020/2021	scene:26 scenes:6
704	2696	secret	ˈsiːkrɪt	n.	秘密，内情	32	7	2010/2012/2013/2016/2018/2019/2020	secret:27 secrets:5
705	2738	shape	ʃeɪp	n. v.	形状，外形 v. 使成型，制造，塑造	32	7	2011/2012/2013/2015/2018/2020/2022	shape:19 shapes:8 shaped:5
706	2926	stadium	ˈsteɪdɪəm	n.	（露天）体育场	32	1	2021	stadium:20 stadiums:12
707	3106	tend	tend	v.	往往会，常常就，倾向，趋于	32	7	2013/2015/2016/2018/2019/2020/2021	tended:16 tend:15 tends:1
708	3199	tool	tuːl	n.	工具，器具；tooth (复 teeth	32	9	2009/2010/2011/2013/2014/2017/2019/2020/2022	tools:19 tool:13
709	3386	voice	vɔɪs	n.	说话声; 语态	32	10	2009/2011/2012/2013/2014/2016/2017/2020/2021/2022	voice:25 voices:5 voicing:2
710	3466	whole	həʊl	adj.	整个的	32	9	2008/2010/2012/2013/2016/2017/2018/2020/2022	whole:32
711	3484	wing	wɪŋ	n.	机翼，翅膀	32	4	2010/2013/2017/2020	wing:22 wings:10
712	154	amount	əˈmaʊnt	n. v.	/ v. 金额，数量，总计	31	10	2008/2010/2014/2016/2017/2018/2019/2020/2021/2022	amount:23 amounts:7 amounted:1
713	380	behind	bɪˈhaɪnd	prep. adv.	(表示位置)在…后面 ad. 在后面；向后	31	10	2010/2011/2013/2014/2016/2017/2018/2019/2020/2022	behind:31
714	754	concern	kənˈsɜːn	v. n.	/ n. 涉及，关心	31	8	2011/2013/2016/2017/2018/2019/2020/2022	concerned:11 concern:10 concerns:9 concerning:1
715	771	connect	kəˈnekt	v.	连接，把…联系起来	31	9	2009/2010/2011/2013/2014/2015/2017/2018/2019	connect:17 connected:11 connecting:3
716	877	damage	ˈdæmɪdʒ	n. vt.	毁坏，损害	31	7	2011/2014/2016/2017/2019/2020/2021	damage:20 damaged:6 damaging:5
717	889	daughter	ˈdɔːtə(r)	n.	女儿	31	7	2010/2012/2014/2015/2016/2018/2020	daughter:19 daughters:12
718	1177	expensive	ɪkˈspensɪv	adj.	昂贵的	31	9	2008/2011/2013/2014/2016/2017/2018/2019/2022	expensive:31
719	1224	farmer	ˈfɑːmə(r)	n.	农民	31	9	2010/2011/2014/2015/2016/2017/2018/2019/2020	farmers:25 farmer:6
720	1424	gold	ɡəʊld	n.	黄金 a 金的，黄金的	31	6	2008/2010/2015/2016/2018/2019	gold:31
721	1750	knowledge	ˈnɔlɪdʒ	n.	知识，学问	31	8	2008/2011/2013/2014/2015/2016/2018/2020	knowledge:30 knowledges:1
722	1860	manage	ˈmænɪdʒ	v.	管理；设法对付	31	10	2008/2009/2010/2011/2014/2016/2017/2018/2019/2020	managed:13 manage:8 managing:6 manages:4
723	1945	mirror	ˈmɪrə(r)	n.	镜子	31	5	2011/2012/2018/2019/2021	mirror:21 mirrors:10
724	1962	monkey	ˈmʌŋkɪ	n.	猴子	31	4	2018/2019/2020/2022	monkeys:28 monkey:3
725	2063	notice	ˈnəʊtɪs	n. vt.	布告，通告；注意 vt. 注意，注意到	31	9	2008/2011/2012/2013/2014/2015/2016/2019/2021	noticed:20 notice:11
726	2430	puzzle	ˈpʌz(ə)l	n.	难题,（字、画）谜	31	2	2020/2021	puzzles:20 puzzle:11
727	2790	simple	ˈsɪmp(ə)l	adj.	简单的，简易的	31	11	2010/2012/2014/2015/2016/2017/2018/2019/2020/2021/2022	simple:31
728	2806	size	sɪksˈtiːnθ	n.	尺寸，大小	31	11	2008/2009/2010/2011/2012/2013/2014/2015/2017/2018/2021	size:31
729	2902	speed	spiːd	n. v.	速度 v. （使）加速	31	8	2010/2011/2013/2017/2018/2019/2020/2022	speed:28 speeds:2 speeding:1
730	2991	style	staɪl	n.	方式，作风，款式	31	11	2010/2011/2012/2013/2015/2016/2017/2018/2019/2020/2021	style:22 styles:7 styling:2
731	3169	ticket	ˈtɪkɪt	n.	票；卷	31	6	2011/2013/2014/2016/2017/2020	ticket:21 tickets:10
732	3444	west	west	adj. adv. n.	(在)西；向西,从西来的 ad. 在西方,向西方 n.西部；西方	31	7	2008/2010/2013/2014/2018/2019/2022	west:31
733	3479	wind	wɪnd	n.	风 ；wind(wound,wound	31	6	2008/2010/2011/2012/2015/2016	wind:25 winding:5 winds:1
734	3481	window	ˈwɪndəʊ	n.	窗户；计算机的窗	31	8	2010/2014/2015/2016/2018/2019/2020/2021	window:23 windows:8
735	418	black	blæk	n. adj.	黑色 a. 黑色的	30	5	2009/2010/2013/2017/2021	black:30
736	541	camp	kæmp	n. vi.	（夏令）营 vi.野营,宿营	30	4	2014/2017/2018/2019	camping:18 camps:6 camp:4 camper:2
737	993	discuss	dɪsˈkʌs	vt.	讨论，议论	30	10	2008/2010/2011/2013/2016/2017/2018/2019/2020/2021	discuss:13 discussed:10 discussing:7
738	1256	figure	ˈfɪɡə(r); (US) ˈfɪgjər	n. vt.	数字；数目；图；图形；（人的）身型；人物；（绘画、雕刻）人物像 vt.（美口语）认为，判断.（在心里）想像，描绘	30	9	2008/2011/2012/2015/2016/2018/2019/2020/2022	figure:18 figured:7 figures:4 figuring:1
739	1746	kite	kaɪt	n.	风筝	30	2	2011/2012	kite:20 kites:10
740	1809	limit	ˈlɪmɪt	vt.	限制；减少	30	9	2008/2009/2011/2012/2016/2017/2018/2020/2021	limited:17 limit:11 limits:1 limiting:1
741	1865	map	mæp	n.	地图	30	4	2010/2011/2012/2018	map:26 maps:4
742	1880	material	məˈtɪərɪəl	n.	材料，原料	30	8	2008/2011/2012/2013/2014/2017/2018/2019	materials:25 material:5
743	1987	movie	ˈmuːvɪ	n.	（口语）电影；Mr. (mister	30	5	2009/2015/2016/2017/2019	movie:26 movies:4
744	2175	pair	peə(r)	n.	一双，一对	30	7	2011/2012/2013/2014/2015/2020/2021	pair:18 pairs:12
745	2230	performance	pəˈfɔːm	n.	演出，表演	30	6	2011/2012/2013/2016/2020/2022	performance:15 performances:15
746	2264	pilot	ˈpaɪlət	n.	飞行员	30	4	2013/2017/2019/2022	pilot:16 pilots:14
747	2564	respect	rɪˈspekt	vt. n.	尊敬，尊重	30	9	2009/2010/2011/2012/2013/2015/2016/2021/2022	respect:17 respected:12 respects:1
748	2592	risk	rɪsk	n. v.	/ v. 危险，风险，冒险	30	9	2014/2015/2016/2017/2018/2019/2020/2021/2022	risk:25 risks:3 risking:2
749	2778	sight	saɪ	n.	情景，风景；视力	30	8	2010/2011/2013/2015/2017/2018/2019/2020	sight:27 sights:3
750	3011	suitable	ˈsjuːtəb(ə)l	adj.	合适的，适宜的	30	11	2008/2011/2012/2013/2015/2016/2017/2018/2019/2020/2022	suitable:30
751	3086	tea	tiː	n.	茶；茶叶 ；teach(taught,taught	30	4	2010/2011/2013/2022	tea:30
752	3369	village	ˈvɪlɪdʒ	n.	村庄，乡村	30	7	2010/2012/2014/2015/2016/2019/2020	village:22 villages:8
753	3390	volunteer	vɔlənˈtɪə(r)	n. v.	/ v. 义工，自愿者，无偿做	30	5	2016/2017/2019/2021/2022	volunteers:13 volunteer:12 volunteering:4 volunteered:1
754	3473	wild	waɪld	adj.	未开发的，荒凉的；野生的，野的	30	8	2012/2013/2014/2016/2018/2020/2021/2022	wild:28 wildest:1 wilder:1
755	3497	wonder	ˈwʌndə(r)	v. n.	对…疑惑，感到惊奇,想知道 n. 惊讶,惊叹;奇迹	30	9	2009/2010/2012/2013/2014/2015/2016/2019/2020	wonder:14 wondered:7 wondering:5 wonders:4
756	49	action	ˈækʃ(ə)n	n.	行动	29	7	2010/2011/2013/2014/2015/2021/2022	action:19 actions:10
757	52	actor	ˈæktə(r)	n.	男演员	29	4	2012/2016/2017/2020	actor:16 actors:13
758	218	April	ˈeɪpr(ə)l	n.	4月	29	6	2010/2014/2017/2018/2020/2022	april:29
759	356	beach	biːtʃ	n.	海滨，海滩	29	8	2008/2010/2012/2015/2019/2020/2021/2022	beach:19 beaches:10
760	470	brain	breɪn	n.	脑（子	29	9	2009/2011/2013/2015/2016/2017/2018/2019/2020	brain:19 brains:10
761	617	charge	tʃɑːdʒ	v. n.	要求收费；索价；将(电池)充电 n. 费用；价钱	29	9	2008/2013/2014/2015/2016/2017/2018/2019/2022	charge:14 charges:10 charged:4 charging:1
762	719	comedy	ˈkɔmədɪ	n.	喜剧	29	4	2016/2017/2019/2022	comedy:23 comedies:6
763	1065	earth	ɜːθ	n.	地球；土，泥；大地	29	6	2008/2010/2014/2015/2016/2020	earth:29
764	1190	express	ɪkˈspres	vt. n.	表达；表示；表情 n. 快车，特快专递	29	11	2008/2010/2012/2014/2015/2016/2017/2018/2019/2020/2021	express:25 expressed:2 expresses:2
765	1249	field	fiːld	n.	田地；牧场；场地	29	8	2010/2013/2014/2016/2018/2019/2020/2021	field:19 fields:10
766	1254	fight	faɪt	n.	打仗（架），争论	29	10	2011/2012/2013/2014/2015/2016/2017/2018/2020/2021	fight:15 fighting:11 fought:3
767	1366	front	frʌnt	adj. n.	前面的；前部的 n. 前面；前部；前线	29	10	2008/2010/2011/2012/2014/2016/2018/2019/2020/2022	front:29
768	1524	heat	hiːt	n. vt.	热 vt. 把……加热	29	6	2008/2009/2015/2017/2020/2021	heat:23 heated:3 heating:3
769	1670	international	ɪntəˈnæʃən(ə)l	adj.	国际的	29	8	2010/2012/2017/2018/2019/2020/2021/2022	international:29
770	1675	interview	ˈɪntəvjuː	n. vt.	采访,会见,面试	29	6	2008/2013/2017/2018/2019/2021	interview:16 interviews:8 interviewer:5
771	1888	meaning	ˈmiːnɪŋ	n.	意思，含意	29	9	2010/2011/2012/2013/2015/2016/2020/2021/2022	meaning:22 meanings:7
772	2130	organization	ɔːɡənaɪˈzeɪʃ(ə)n	n.	组织，机构	29	6	2013/2014/2015/2017/2020/2021	organization:17 organizations:12
773	2165	pack	pæk	n. v.	包,捆;（猎犬、野兽的）一群 v.(为运输或储存而)打包	29	10	2008/2010/2013/2015/2016/2017/2019/2020/2021/2022	packed:15 pack:8 packs:4 packing:2
774	2255	pick	pɪk	v.	拾起，采集；挑选	29	11	2009/2012/2013/2015/2016/2017/2018/2019/2020/2021/2022	pick:19 picked:4 picking:3 picks:3
775	2343	powerful	ˈpaʊəfʊl	adj.	效力大的，强有力的，强大的	29	7	2010/2011/2012/2013/2015/2016/2018	powerful:29
776	2509	reflect	rɪˈflekt	v.	反映，反射	29	9	2008/2010/2011/2014/2015/2018/2019/2020/2022	reflected:14 reflect:12 reflecting:2 reflects:1
777	2524	relate	rɪˈleɪt	vi.	有关； 涉及	29	9	2009/2010/2012/2013/2014/2016/2018/2019/2022	related:17 relate:5 relates:5 relating:2
778	2688	search	sɜːtʃ	n. v.	搜寻，搜查	29	8	2011/2013/2014/2017/2018/2019/2020/2022	searched:11 search:10 searching:5 searches:3
779	2692	seat	siːt	n.	座位，座	29	7	2010/2013/2016/2017/2019/2021/2022	seats:16 seat:11 seating:2
780	3017	Sunday	ˈsʌndeɪ	n.	星期日	29	8	2011/2013/2014/2015/2017/2018/2020/2022	sunday:25 sundays:4
781	3109	ten	ten	num.	十	29	7	2009/2010/2013/2014/2015/2018/2020	ten:26 tens:3
