rank	no	word	ph	pos	def	freq	years	yearList	topForms
580		outside	aʊtˈsaɪd	n. adv. prep.	外面 ad. 在外面；向外面 prep. 在…外面	45	11	2008/2009/2010/2011/2015/2016/2017/2018/2019/2020/2021	outside:45
581		project	ˈprɔdʒekt	n.	工程	45	7	2010/2013/2014/2015/2017/2019/2020	project:35 projects:10
582		restaurant	ˈrestərɔnt; (US) ˈrestərənt	n.	饭馆, 饭店	45	10	2010/2011/2012/2013/2014/2015/2016/2018/2019/2022	restaurant:28 restaurants:17
583		short	ʃɔːt	adj.	短的；矮的	45	12	2008/2009/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020	short:43 shorter:2
584		themselves	ðəmˈselvz	pron.	他/她/它们自己	45	10	2010/2011/2012/2013/2014/2015/2016/2017/2019/2021	themselves:45
585		available	əˈveɪləbl	adj.	可获得的，有空的	44	10	2008/2010/2011/2012/2014/2016/2017/2018/2019/2022	available:44
586		father	ˈfɑːðə(r)	n.	父亲	44	10	2008/2010/2011/2012/2013/2014/2017/2018/2020/2022	father:43 fathers:1
587		full	fʊl	adj.	满的，充满的；完全的	44	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	full:44
588		jazz	dʒæz	n.	爵士音乐，爵士舞曲	44	3	2016/2017/2022	jazz:44
589		memory	ˈmemərɪ	n.	回忆，记忆	44	8	2008/2011/2012/2013/2015/2016/2017/2022	memory:26 memories:18
590		perform	pəˈfɔːm	v.	表演，履行；行动	44	11	2009/2010/2012/2013/2014/2016/2017/2018/2019/2020/2022	perform:19 performed:12 performing:11 performs:2
591		product	ˈprɔdʌkt	n.	产品，制品	44	9	2010/2011/2013/2014/2018/2019/2020/2021/2022	products:24 product:20
592		race	reɪs	n. v.	种族，民族 v. （速度）竞赛，比赛 n. 赛跑，竞赛	44	6	2008/2013/2014/2015/2020/2021	race:41 races:2 racing:1
593		understand		v.	懂得; 明白; 理解	44	12	2009/2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	understand:37 understood:5 understands:2
594		bed	bed	n.	床	43	9	2010/2011/2012/2014/2015/2016/2017/2020/2021	bed:22 beds:19 bedding:2
595		condition	kənˈdɪʃ(ə)n	n.	条件，状况	43	9	2009/2013/2014/2015/2016/2017/2020/2021/2022	conditions:27 condition:8 conditioned:4 conditioner:2
596		enter	ˈentə(r)	vt.	进入	43	10	2008/2010/2011/2012/2013/2014/2015/2017/2018/2021	enter:26 entered:10 enters:4 entering:3
597		environment	ɪnˈvaɪərənmənt	n.	环境	43	10	2012/2013/2014/2015/2016/2018/2019/2020/2021/2022	environment:41 environments:2
598		fill	fɪl	vt.	填空，装满	43	10	2008/2010/2011/2015/2016/2017/2018/2019/2020/2021	filled:22 fill:13 filling:6 fills:2
599		follow	ˈfɔləʊ	vt.	跟随；仿效；跟得上	43	12	2008/2009/2010/2011/2012/2014/2015/2016/2018/2019/2020/2021	follow:18 follows:11 followed:10 follower:4
600		happy	ˈhæpɪ	adj.	幸福；快乐的，高兴的；harbour (美harbor	43	10	2009/2010/2011/2012/2013/2014/2015/2017/2019/2020	happy:31 happier:9 happiest:3
601		holiday	ˈhɔlɪdɪ	n.	假日；假期	43	8	2010/2013/2014/2015/2016/2017/2018/2020	holiday:37 holidays:6
602		island	ˈaɪlənd	n.	岛	43	8	2010/2011/2012/2015/2016/2017/2020/2022	island:32 islands:11
603		kill	kɪl	v.	杀死，弄死	43	9	2008/2010/2011/2014/2016/2017/2018/2019/2021	kill:16 killed:12 killing:12 killer:3
604		mile	maɪl	n.	英里	43	9	2010/2013/2014/2015/2016/2017/2018/2019/2020	miles:34 mile:9
605		poor	pʊə(r)	adj.	贫穷；可怜；不好的,差的	43	9	2010/2011/2012/2013/2014/2015/2016/2018/2019	poor:38 poorest:3 poorer:2
606		ready	ˈredɪ	adj.	准备好的	43	10	2011/2013/2014/2015/2016/2017/2018/2019/2020/2021	ready:41 readying:2
607		remain	rɪˈmeɪn	vt. vi.	余下,留下vi.保持,仍是	43	14	2008/2009/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2021/2022	remained:13 remains:12 remain:10 remaining:8
608		running	ˈrʌnɪŋ	n.	跑步	43	8	2008/2010/2014/2015/2017/2018/2019/2020	running:43
609		situation	sɪtjʊˈeɪʃ(ə)n	n.	形势，情况	43	9	2008/2011/2012/2013/2014/2015/2018/2019/2021	situation:38 situations:5
610		smart	smɑːt	adj.	灵巧的，伶俐的；（人、服装等）时髦的，帅的；smell (smelt, smelt 或-ed,-ed	43	7	2012/2013/2017/2018/2019/2021/2022	smart:38 smarter:5
611		stress	stres	n. v.	精神压力，心理负担 v. 强调，重读	43	7	2009/2010/2012/2016/2017/2019/2020	stress:32 stressed:7 stresses:4
612		top	tɔp	n.	顶部,（物体的）上面	43	11	2008/2010/2013/2014/2015/2016/2017/2018/2019/2020/2022	top:40 tops:3
613		usually	ˈjuːʒʊəlɪ	adv.	通常，经常	43	13	2008/2009/2010/2011/2012/2013/2014/2016/2017/2018/2019/2020/2022	usually:43
614		answer	ˈɑːnsə(r); (US) ˈænsər	n. v.	回答,答复;回信;答案 v.回答,答复;回信;（作出）答案	42	11	2008/2010/2011/2012/2013/2014/2016/2017/2019/2020/2021	answer:30 answers:7 answering:4 answered:1
615		benefit	ˈbenɪfɪt	n. v.	/ v.优势,益处,使…受益	42	8	2010/2011/2017/2018/2019/2020/2021/2022	benefits:29 benefit:12 benefited:1
616		cover	ˈkʌvə(r)	n. v.	盖子；罩 v. 覆盖，遮盖；掩盖	42	12	2008/2010/2011/2012/2013/2016/2017/2018/2019/2020/2021/2022	covered:19 cover:16 covering:4 covers:3
617		invite	ɪnˈvaɪt	vt.	邀请，招待	42	10	2010/2011/2012/2014/2016/2017/2018/2019/2021/2022	invited:18 invite:14 invites:8 inviting:2
618		key	kiː	n.	钥匙;答案;键;关键	42	9	2008/2010/2011/2013/2016/2017/2018/2019/2022	key:36 keys:6
619		machine	məˈʃiːn	n.	机器	42	5	2010/2014/2016/2018/2020	machines:26 machine:16
620		member	ˈmembə(r)	n.	成员，会员	42	9	2010/2011/2013/2015/2016/2017/2018/2019/2021	members:24 member:18
621		positive		adj.	肯定的, 积极的, 相信, 确实的	42	11	2010/2012/2013/2014/2015/2016/2017/2018/2019/2020/2022	positive:40 positives:2
622		promote	prəˈməʊt	v.	促进,推动,促销,晋升	42	8	2011/2014/2015/2016/2019/2020/2021/2022	promote:29 promoted:7 promoting:4 promotes:2
623		rich	rɪtʃ	adj.	富裕的，有钱的；rid (rid, rid / ridded, ridded	42	10	2010/2011/2012/2013/2015/2016/2017/2018/2019/2020	rich:37 riches:2 richer:2 richest:1
624		several	ˈsevr(ə)l	pron. adj.	几个,数个 a.若干	42	12	2009/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021	several:42
625		toward	təˈwɔːd	prep.	向，朝，对于	42	12	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2022	towards:24 toward:18
626		view	vjuː	n.	看法,见解;风景,景色	42	8	2010/2013/2014/2016/2018/2019/2020/2021	view:26 viewing:7 views:6 viewed:3
627		white	waɪt; (US) hwaɪt	adj. n.	白色的 n. 白色	42	10	2009/2010/2011/2012/2013/2016/2017/2020/2021/2022	white:42
628		although	ɔːlˈðəʊ	conj.	虽然，尽管	41	12	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2020/2022	although:41
629		complete	kəmˈpliːt	adj. vt.	完成vt. 完成，结束	41	11	2008/2010/2012/2013/2014/2015/2016/2017/2018/2021/2022	complete:30 completed:8 completing:3
630		development	dɪˈveləpmənt	n.	发展，发达，发育，开发	41	12	2008/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2022	development:41
631		forget	fəˈrevə(r)	v.	(forgot, forgotten) v. 忘记；忘掉	41	14	2008/2009/2010/2011/2012/2013/2014/2015/2017/2018/2019/2020/2021/2022	forget:27 forgot:7 forgotten:7
632		fresh	freʃ	adj.	新鲜的	41	6	2012/2015/2016/2018/2019/2022	fresh:41
633		heart	hɑːt	n.	心.心脏, 纸牌中的红桃	41	10	2008/2010/2014/2016/2017/2018/2019/2020/2021/2022	heart:40 hearts:1
634		passage	ˈpæsɪdʒ	n.	（文章等的）一节，一段；通道；走廊	41	9	2008/2009/2010/2011/2013/2014/2015/2016/2020	passage:41
635		personal	ˈpɜːsən(ə)l	adj.	个人的，私人的	41	10	2008/2010/2012/2013/2014/2015/2016/2018/2019/2021	personal:41
636		practice	ˈpræktɪs	n.	练习	41	10	2009/2010/2012/2013/2014/2016/2018/2020/2021/2022	practice:27 practices:7 practicing:5 practiced:2
637		railway	ˈreɪlweɪ	n.	铁路；铁道	41	3	2010/2017/2022	railway:32 railways:9
638		serve	sɜːv	vt.	招待（顾客等）,服务	41	10	2008/2010/2011/2013/2014/2015/2016/2017/2018/2020	served:13 serves:11 serve:11 serving:6
639		sign	saɪn	n.	符号，标记	41	8	2010/2011/2015/2016/2017/2018/2020/2022	sign:21 signed:9 signs:9 signing:2
640		similar	ˈsɪmɪlə(r)	adj.	相似的，像	41	9	2010/2012/2013/2014/2017/2018/2020/2021/2022	similar:41
641		simply	ˈsɪmplɪ	adv.	简单地,(加强语气)的确	41	11	2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	simply:41
642		sun	sʌn	n.	太阳，阳光	41	8	2008/2009/2010/2014/2015/2019/2020/2022	sun:41
643		value	ˈvæljuː	n.	价值，益处	41	11	2008/2009/2010/2011/2012/2013/2016/2017/2018/2019/2020	value:26 values:12 valued:3
644		variety	vəˈraɪətɪ	n.	种种，种类	41	11	2008/2009/2011/2012/2013/2015/2016/2017/2018/2019/2020	variety:31 varieties:10
645		accept	əkˈsept	vt.	接受	40	11	2008/2010/2011/2014/2015/2016/2017/2018/2020/2021/2022	accept:24 accepted:14 accepting:2
646		against	əˈɡeɪnst	prep.	对着，反对	40	9	2010/2011/2012/2013/2015/2016/2017/2019/2021	against:40
647		anyone	ˈenɪwʌn	pron.	任何人，无论谁	40	9	2008/2010/2011/2014/2016/2017/2020/2021/2022	anyone:40
648		check	tʃek	n. vt.	检查；批改 vt. 校对，核对； 检查；批改	40	10	2008/2010/2013/2014/2015/2016/2017/2019/2020/2022	check:21 checking:9 checked:8 checks:2
649		consider	kənˈsɪdə(r)	vt.	考虑	40	13	2009/2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	consider:19 considered:17 considering:3 considers:1
650		driver	ˈdraɪvə(r)	n.	司机，驾驶员	40	6	2010/2011/2013/2014/2016/2017	drivers:22 driver:18
651		engineer	endʒɪˈnɪə(r)	n.	工程师；技师	40	7	2009/2010/2015/2017/2019/2020/2022	engineers:23 engineering:9 engineer:8
652		especially	ɪˈspeʃəlɪ	adv.	特别，尤其	40	10	2008/2010/2012/2013/2014/2015/2016/2018/2019/2021	especially:40
653		fruit	fruːt	n.	水果；果实	40	8	2011/2014/2016/2018/2019/2020/2021/2022	fruit:24 fruits:16
654		gallery	ˈɡælərɪ	n.	画廊；美术品陈列室	40	6	2008/2011/2013/2014/2020/2022	gallery:36 galleries:4
655		ground	ɡraʊnd	n.	地面	40	7	2009/2010/2012/2013/2017/2020/2021	ground:40
656		interesting	ˈɪntrətɪŋ	adj.	有趣的	40	11	2009/2010/2011/2012/2013/2016/2017/2018/2019/2020/2021	interesting:40
657		lesson	ˈles(ə)n	n.	课；功课；教训；let (let, let	40	10	2010/2011/2012/2013/2014/2015/2016/2017/2018/2020	lesson:22 lessons:18
658		main	meɪn	adj.	主要的	40	12	2008/2010/2011/2012/2013/2014/2015/2016/2018/2020/2021/2022	main:40
659		method	ˈmeθəd	n.	方法，办法；metre (美meter	40	10	2010/2011/2013/2015/2016/2017/2018/2019/2020/2022	methods:20 method:20
660		online	ˌɒnˈlaɪn	adj. adv.	在线的；联网的；在线地	40	6	2013/2015/2016/2017/2018/2019	online:40
661		Paris	ˈpærɪs	n.	巴黎	40	4	2015/2017/2018/2020	paris:40
662		per	pə(r)	prep.	每，每一	40	8	2010/2013/2015/2016/2017/2018/2020/2022	per:40
663		season	ˈsiːz(ə)n	n.	季；季节	40	7	2010/2013/2015/2016/2019/2020/2022	season:30 seasons:6 seasoned:2 seasoning:2
664		six	sɪks	num.	六	40	11	2010/2011/2012/2014/2015/2016/2017/2019/2020/2021/2022	six:40
665		sport	spɔːt	n.	体育运动，锻炼；(复，英)运动会	40	11	2008/2010/2013/2014/2016/2017/2018/2019/2020/2021/2022	sport:20 sports:18 sporting:2
666		sugar	ˈʃʊɡə(r)	n.	糖	40	6	2010/2012/2013/2018/2020/2022	sugar:40
667		cause	kɔːz	n. vt.	原因，起因 vt. 促使，引起，使发生	39	13	2008/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	cause:20 caused:12 causes:7
668		chair	tʃeə(r)	n.	椅子	39	6	2011/2013/2014/2016/2017/2020	chair:33 chairs:6
669		choice	tʃɔɪs	n.	选择；抉择	39	7	2008/2010/2012/2014/2015/2016/2018	choices:23 choice:16
670		English	ˈɪŋɡlɪʃ	adj. n.	英国的，英国人的，英语的 n. 英语	39	6	2010/2011/2014/2018/2019/2022	english:39
671		festival	ˈfestɪvəl	adj.	节日的，喜庆的	39	8	2011/2013/2014/2016/2017/2018/2020/2022	festival:37 festivals:2
672		healthy	ˈhelθɪ	adj.	健康的，健壮的	39	10	2010/2014/2015/2016/2017/2018/2019/2020/2021/2022	healthy:30 healthier:9
673		please	pliːz	v.	请,使人高兴,使人满意	39	6	2008/2011/2014/2016/2017/2020	please:37 pleases:2
674		receive	rɪˈsiːv	v.	收到，得到	39	12	2009/2010/2011/2012/2013/2015/2016/2017/2018/2019/2020/2021	received:19 receive:13 receiving:4 receives:3
675		rise		v.	上升, 上涨; 升起, 起身	39	8	2011/2012/2013/2014/2016/2017/2018/2020	rise:25 rising:7 risen:5 rises:2
676		wear		v.	穿着, 戴; 留蓄; 带着，表现出; 磨损	39	11	2008/2009/2010/2011/2012/2013/2014/2016/2017/2020/2022	wear:16 wearing:9 wore:9 wears:5
677		yet	jet	adv.	尚，还，仍然	39	10	2010/2011/2013/2014/2015/2016/2017/2020/2021/2022	yet:39
678		ability	əˈbɪlɪtɪ	n.	能力；才能	38	9	2009/2010/2012/2014/2016/2019/2020/2021/2022	ability:34 abilities:4
679		alone	əˈləʊn	adj.	单独的，孤独的	38	8	2010/2011/2014/2016/2017/2018/2019/2022	alone:38
680		busy	ˈbɪzɪ	adj.	忙（碌）的	38	7	2008/2010/2013/2014/2017/2018/2022	busy:36 busier:2
681		certain	ˈsɜːt(ə)n	adj.	（未指明真实名称的）某…；确定的，无疑的；一定会…	38	9	2010/2013/2014/2015/2016/2017/2019/2020/2021	certain:38
682		coffee	ˈkɔfɪ; (US) ˈkɔːfɪ	n.	咖啡	38	6	2010/2015/2016/2017/2018/2021	coffee:38
683		collection	kəˈlekʃ(ə)n	n.	收藏品，收集物	38	8	2008/2010/2012/2013/2014/2016/2020/2022	collections:21 collection:17
684		force	fɔːs	vt.	强迫，迫使	38	12	2009/2010/2011/2013/2014/2015/2016/2017/2019/2020/2021/2022	forced:26 force:8 forcing:3 forces:1
685		listen	ˈlɪs(ə)n	vi.	听,仔细听	38	11	2008/2011/2012/2013/2014/2015/2016/2017/2018/2019/2022	listening:15 listen:15 listened:5 listener:2
686		noise	nɔɪz	n.	声音，噪声，喧闹声	38	6	2011/2014/2015/2017/2018/2021	noise:35 noises:3
687		promise	ˈprɔmɪs	n. vi.	答应，允诺	38	13	2008/2010/2011/2012/2013/2014/2015/2016/2018/2019/2020/2021/2022	promise:22 promised:8 promising:7 promises:1
688		strong	strɔŋ; (US) strɔːɡ	adj.	强(壮)的；坚固的；强烈的；坚强的	38	11	2008/2010/2011/2012/2013/2015/2016/2017/2019/2020/2021	strong:28 stronger:7 strongest:3
689		task	tɑːsk; (US) tæsk	n.	任务, 工作	38	9	2009/2010/2011/2013/2016/2017/2020/2021/2022	task:21 tasks:17
690		weight	weɪt	n.	重，重量	38	10	2010/2011/2012/2013/2014/2015/2017/2020/2021/2022	weight:36 weighting:2
691		advertise	ˈædvətaɪz	vt.	为……做广告	37	3	2011/2017/2019	advertising:31 advertise:4 advertised:2
692		avoid	əˈvɔɪd	v.	避免，躲开，逃避；awake (awoke, awoken	37	9	2013/2014/2015/2016/2017/2018/2019/2021/2022	avoid:26 avoided:7 avoiding:4
693		cafe	ˈkæfeɪ; (US) kæˈfeɪ	n.	咖啡馆； 餐馆	37	4	2015/2016/2019/2020	cafes:25 cafe:12
694		calm	kɑːm; (US) kɑːlm	adj. v.	镇静,沉着的 v.镇静沉着	37	13	2008/2009/2010/2011/2012/2013/2014/2016/2017/2018/2019/2021/2022	calm:27 calmed:5 calming:3 calmer:2
695		card	kɑːd	n.	卡片；名片；纸牌	37	8	2009/2010/2013/2014/2015/2016/2018/2022	card:23 cards:14
696		Dr		n.	医生; 博士	37	6	2009/2013/2016/2017/2019/2020	dr:37
697		husband	ˈhʌzbənd	n.	丈夫	37	10	2009/2010/2011/2012/2013/2014/2015/2018/2019/2020	husband:36 husbands:1
698		law	lɔː	n.	法律，法令；定律	37	7	2010/2011/2012/2013/2014/2016/2020	law:32 laws:5
699		perhaps	pəˈhæps	adv.	可能，或	37	11	2008/2010/2011/2013/2014/2017/2018/2019/2020/2021/2022	perhaps:37
700		production	prəˈdʌkʃ(ə)n	n.	生产；制造	37	8	2010/2011/2013/2017/2018/2019/2020/2022	production:29 productions:8
701		quite	kwaɪt	adv.	完全，十分	37	10	2008/2009/2010/2011/2012/2013/2016/2017/2018/2019	quite:37
702		red	red	n. adj.	红色 a.红色的	37	7	2010/2012/2013/2015/2017/2018/2020	red:37
703		saying	ˈseɪɪŋ	n.	说，俗话，谚语	37	8	2010/2011/2013/2015/2017/2018/2020/2021	saying:37
704		taste	teɪst	n. vt.	品尝, 尝味；味道 vt. 品尝, 尝味	37	9	2008/2010/2013/2014/2015/2016/2017/2018/2021	taste:30 tastes:4 tasting:2 tasted:1
705		apple	ˈæp(ə)l	n.	苹果	36	3	2015/2016/2020	apple:21 apples:15
706		audience	ˈɔːdɪəns	n.	观众，听众	36	6	2011/2013/2014/2017/2019/2022	audience:34 audiences:2
707		elephant	ˈelɪfənt	n.	象	36	4	2011/2014/2016/2020	elephants:28 elephant:8
708		evening	ˈiːvnɪŋ	n.	傍晚，晚上	36	8	2008/2010/2011/2014/2015/2016/2018/2020	evening:34 evenings:2
709		mention	ˈmenʃ(ə)n	n. vt.	提及；记载 vt. 提到，说起；提名表扬	36	9	2008/2010/2011/2012/2013/2014/2016/2019/2021	mentioned:20 mention:13 mentioning:3
710		position	pəˈzɪʃ(ə)n	n.	位置	36	10	2008/2010/2011/2012/2013/2014/2018/2019/2021/2022	position:25 positions:8 positioned:3
711		bike	baɪk	n.	自行车	35	4	2013/2014/2018/2021	bike:30 bikes:3 biking:2
712		case	keɪs	n.	情况；病例；案件；真相 n. 箱；盒；容器	35	9	2010/2011/2012/2014/2016/2017/2020/2021/2022	case:23 cases:12
713		club	klʌb	n.	俱乐部；纸牌中的梅花	35	9	2010/2011/2013/2015/2016/2017/2019/2021/2022	club:35
714		deep	diːp	adj. adv.	深 ad. 深；深厚	35	10	2009/2011/2012/2013/2016/2017/2018/2019/2020/2022	deep:26 deeper:7 deepest:2
715		else	els	adv.	别的，其他的	35	11	2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2022	else:35
716		generation	dʒenəˈreɪʃ(ə)n	n.	代，一代	35	10	2010/2011/2014/2015/2016/2017/2018/2020/2021/2022	generations:19 generation:16
717		nest	nest	n.	巢；窝	35	4	2012/2014/2017/2022	nest:28 nests:5 nested:2
718		object	ˈɔbdʒɪkt	n.	物，物体；宾语	35	8	2008/2012/2013/2014/2015/2018/2020/2022	objects:29 object:6
719		schedule	ˈʃedjuːl; (US) ˈskedʒʊl	n. v.	工作计划，日程安排v. 安排时间，预定	35	7	2008/2014/2016/2017/2019/2020/2022	schedule:25 scheduled:6 schedules:4
720		strange	streɪndʒ	adj.	奇怪,奇特的,陌生的	35	11	2010/2011/2012/2014/2015/2016/2017/2019/2020/2021/2022	strange:35
721		within	wɪˈðɪn	prep.	在……里面	35	11	2008/2010/2011/2013/2014/2015/2016/2017/2019/2020/2021	within:35
722		apply	əˈplaɪ	v.	申请	34	9	2011/2013/2015/2016/2017/2018/2019/2020/2022	apply:23 applying:5 applied:4 applies:2
723		childhood	ˈtʃaɪldhʊd	n.	幼年时代，童年	34	6	2008/2011/2012/2016/2021/2022	childhood:34
724		decision	dɪˈsɪʒ(ə)n	n.	决定；决心	34	10	2008/2011/2013/2014/2015/2016/2017/2018/2019/2022	decision:23 decisions:11
725		fashion	ˈfæʃn	n.	时尚；流行；方式	34	2	2019/2020	fashion:32 fashions:2
726		fur	fɜː(r)	n.	毛皮；皮子	34	4	2008/2010/2014/2020	fur:34
727		lunch	lʌntʃ	n.	午餐，午饭	34	8	2008/2010/2013/2016/2017/2018/2019/2022	lunch:32 lunching:2
728		mistake		v.	弄错 错误	34	10	2010/2013/2014/2015/2016/2017/2018/2019/2020/2022	mistake:21 mistakes:13
729		modern	ˈmɔd(ə)n	adj.	现代的	34	8	2011/2013/2015/2016/2017/2018/2021/2022	modern:34
730		protect	prəˈtekt	vt.	保护	34	12	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2021/2022	protect:24 protected:6 protecting:3 protects:1
731		rather	ˈrɑːðə; (US) ˈræðər	adv.	相当，宁可	34	10	2008/2010/2011/2012/2014/2015/2016/2018/2020/2021	rather:34
732		snow	snəʊ	n. vi.	雪 vi.下雪	34	9	2008/2009/2010/2012/2018/2019/2020/2021/2022	snow:34
733		successful	səkˈsesfʊl	adj.	成功的,有成就的	34	10	2008/2010/2011/2013/2014/2015/2016/2018/2019/2021	successful:34
734		throw	θrəʊ	v.	投，掷，扔	34	6	2010/2013/2014/2018/2020/2021	throw:10 throwing:8 threw:7 thrown:6
735		track	træk	n.	轨道；田径	34	10	2010/2011/2013/2015/2016/2017/2018/2019/2020/2022	track:20 tracks:6 tracked:5 tracking:3
736		trouble	ˈtrʌb(ə)l	vt. n.	使苦恼,使忧虑,使麻烦 n.问题,疾病,烦恼,麻烦	34	10	2009/2010/2011/2012/2014/2015/2016/2018/2019/2021	trouble:21 troubled:7 troubling:3 troubles:3
737		unit	ˈjuːnɪt	n.	单元，单位	34	10	2008/2010/2011/2014/2015/2016/2017/2018/2020/2022	united:27 unit:4 units:3
738		attract	əˈtrækt	v.	吸引，引起	33	9	2008/2011/2012/2013/2014/2016/2017/2018/2019	attracted:13 attract:12 attracts:5 attracting:3
739		dinner	ˈdɪnə(r)	n.	正餐，宴会	33	7	2010/2011/2013/2015/2016/2018/2021	dinner:33
740		disappear	dɪsəˈpɪə(r)	vi.	消失	33	9	2010/2011/2014/2016/2017/2018/2019/2020/2021	disappear:20 disappearing:7 disappeared:6
741		entrance	ˈentrəns	n.	入口；入场；进入的权利;入学许可	33	8	2008/2013/2015/2016/2017/2020/2021/2022	entrance:31 entrances:2
742		fat	fæt	n. adj.	脂肪 a. 胖的；肥的	33	6	2010/2015/2016/2017/2018/2020	fat:29 fats:4
743		finish	ˈfɪnɪʃ	v.	结束；做完	33	9	2010/2011/2012/2013/2014/2015/2016/2019/2020	finished:14 finishing:11 finish:8
744		friendship	ˈfrendʃɪp	n.	友谊，友情	33	9	2010/2011/2012/2013/2015/2016/2017/2019/2022	friendship:20 friendships:13
745		habit	ˈhæbɪt	n.	习惯，习性	33	7	2010/2013/2014/2015/2016/2018/2019	habits:23 habit:10
746		hide	haɪd	v.	躲藏；隐瞒（hid, hidden）	33	9	2010/2011/2012/2014/2016/2017/2019/2020/2022	hiding:11 hide:9 hidden:8 hid:3
747		honey	ˈhʌni	n.	蜂蜜	33	1	2012	honey:33
748		journey	ˈdʒɜːnɪ	n.	旅行，路程	33	7	2010/2013/2016/2018/2019/2020/2022	journey:31 journeys:2
749		opinion	əˈpɪnjən	n.	看法，见解	33	9	2008/2010/2012/2013/2017/2018/2019/2020/2021	opinion:17 opinions:16
750		recent	ˈriːsənt	adj.	近来的，最近的	33	10	2010/2011/2015/2016/2017/2018/2019/2020/2021/2022	recent:33
751		standard	ˈstændəd	n. adj.	标准（的	33	6	2010/2011/2013/2014/2017/2021	standards:17 standard:16
752		stranger	ˈstreɪndʒə(r)	n.	陌生人，外人	33	8	2010/2011/2012/2014/2016/2018/2020/2021	strangers:17 stranger:16
753		strength	streŋθ	n.	力量，力气	33	8	2011/2013/2014/2015/2017/2018/2019/2020	strength:19 strengths:14
754		system	ˈsɪstəm	n.	体系；系统	33	7	2009/2010/2011/2013/2017/2019/2020	system:23 systems:10
755		toy	tɔɪ	n.	玩具, 玩物	33	8	2008/2012/2014/2015/2016/2018/2020/2022	toys:21 toy:12
756		traditional	trəˈdɪʃ(ə)n	adj.	传统的，风俗的	33	8	2009/2010/2015/2016/2018/2020/2021/2022	traditional:33
757		weather	weə(r)	n.	天气	33	11	2008/2010/2011/2012/2013/2014/2015/2016/2019/2020/2021	weather:33
758		website	websaɪt	n.	网络	33	11	2008/2010/2012/2014/2015/2016/2017/2018/2019/2021/2022	website:29 websites:4
759		welcome	ˈwelkəm	n. v. adj.	欢迎 a. 受欢迎的	33	10	2008/2010/2012/2015/2017/2018/2019/2020/2021/2022	welcome:20 welcomed:10 welcoming:3
760		agree	əˈɡriː	v.	同意；应允	32	8	2010/2011/2013/2016/2018/2019/2020/2022	agreed:20 agree:12
761		beautiful	ˈbjuːtɪf(ə)l	adj.	美，美丽，美观的	32	11	2008/2010/2011/2014/2015/2016/2017/2018/2019/2020/2022	beautiful:32
762		belief	bɪˈliːf	n.	信条，信念	32	11	2008/2010/2011/2012/2013/2014/2017/2018/2019/2021/2022	belief:14 believes:13 beliefs:5
763		clean	kliːn	vt. adj.	弄干净，擦干净 a. 清洁的，干净的	32	9	2011/2013/2014/2015/2016/2018/2019/2020/2021	clean:20 cleaning:6 cleaned:3 cleans:2
764		compare	kəmˈpeə(r)	vt.	比较，对照	32	8	2008/2012/2013/2016/2018/2019/2020/2021	compared:19 comparing:7 compare:6
765		either	ˈaɪðə(r)	adj. conj. adv.	两方任一方的；二者之一 conj. 二者之一；要么……；ad.	32	11	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2019	either:32
766		expert	ˈekspɜːt	n.	专家，能手	32	9	2011/2013/2014/2015/2016/2017/2018/2019/2020	experts:22 expert:10
767		influence	ˈɪnflʊəns	n. v.	影响	32	7	2008/2012/2015/2016/2019/2021/2022	influence:17 influenced:9 influences:6
768		line	laɪn	n. v.	绳索，线，排，行，线路 v. 画线于，（使）成行	32	9	2008/2010/2012/2013/2017/2018/2019/2020/2022	line:19 lines:13
769		medical	ˈmedɪk(ə)l	adj.	医学的，医疗的	32	10	2010/2012/2013/2016/2017/2018/2019/2020/2021/2022	medical:32
770		necessary	ˈnesəsərɪ; (US) ˈnesəserɪ	adj.	必需的，必要的	32	11	2008/2010/2011/2012/2015/2016/2017/2018/2019/2020/2021	necessary:32
771		official	əˈfɪʃ(ə)l; (US) ˈɔːf-	n. adj.	（公司、团体或政府）官员 ,高级职员 a.官方,政府的	32	9	2013/2014/2015/2016/2017/2019/2020/2021/2022	official:22 officials:10
772		prefer	prɪˈfɜː(r)	vt.	宁愿（选择）,更喜欢	32	10	2008/2010/2011/2013/2016/2018/2019/2020/2021/2022	prefer:20 preferred:8 preferring:2 prefers:2
773		relax	rɪˈlæks	v.	（使）放松，轻松	32	8	2009/2010/2012/2013/2015/2016/2018/2020	relaxed:11 relax:11 relaxing:10
